user_id_24491/Rightside_window_user_id_24491_NoAudio_1_1,540,18,18,3,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_2,840,3,18,14,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_3,300,14,3,2,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_4,570,18,3,2,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_5,960,2,14,8,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_6,210,18,14,8,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_7,150,8,2,5,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_8,570,18,2,5,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_9,900,5,8,11,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_10,180,18,8,11,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_11,150,11,5,17,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_12,540,18,5,17,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_13,960,17,11,7,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_14,180,18,11,7,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_15,180,7,17,15,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_16,660,18,17,15,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_17,390,15,7,9,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_18,300,18,7,9,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_19,150,9,15,0,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_20,390,18,15,0,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_21,480,0,9,4,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_22,1110,18,9,4,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_23,270,4,0,1,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_24,630,18,0,1,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_25,420,1,4,10,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_26,330,18,4,10,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_27,120,10,1,16,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_28,870,18,1,16,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_29,480,16,10,6,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_30,780,18,10,6,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_31,900,6,16,12,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_32,270,12,6,13,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_33,570,18,6,13,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_1_34,270,13,12,18,24491,Rightside_window,Hat
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_1,3780,18,18,3,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_2,630,3,18,2,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_3,720,18,18,2,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_4,1140,2,3,8,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_5,90,18,3,8,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_6,150,8,2,5,24491,Rightside_window,None
user_id_24491/Rightside_window_user_id_24491_NoAudio_0_7,480,18,2,5,24491,Rightside_window,None
